site,sum_squares,Beta_dispersion,Beta_avg_pairwise,gamma_sum_squares,gamma_dispersion,beta_agg_sum_squares,beta_agg_dispersion,Beta_agg_avg_pairwise
SERC,116.92687439043961,0.02797293645704297,0.14257582318188078,116.92687439043961,0.02797293645704297,0.9915473027545825,0.01287723769811146,0.12419551864562639
SJER,12.006432602182292,0.001843456564130553,0.05188644241240234,12.006432602182292,0.001843456564130553,0.09296778514690052,0.0011200937969506085,0.04035390884933783
SOAP_1,38.88979773919445,0.018370239839014854,0.15020462700409346,38.88979773919445,0.018370239839014854,0.19140028739445875,0.00736154951517149,0.10241957740486356
SOAP_2,46.95335117592232,0.022179192808654852,0.17373128471258997,46.95335117592232,0.022179192808654852,0.2958396579276891,0.011378448381834197,0.125907442124403
SRER_1,210.98883957900412,0.0029908404504784764,0.066644312211403,210.98883957900412,0.0029908404504784764,1.8068142206976334,0.0023868087459678116,0.05968213037943978
SRER_2,203.72735236752516,0.002893279069042025,0.06317429171225634,203.72735236752516,0.002893279069042025,1.9540105608668372,0.002581255694672176,0.05916475740893222
STER,21.609150561234156,0.01700169202300091,0.1503781842979992,21.609150561234156,0.01700169202300091,0.17766833855957964,0.009350965187346297,0.11430491407413797
TALL_1,71.726908891281,0.004063617295976488,0.06561450971653912,71.726908891281,0.004063617295976488,0.19042979474300747,8.98253748787771e-4,0.03351069161273574
TALL_2,91.97840492042432,0.0052109458342543945,0.06774940334516208,91.97840492042432,0.0052109458342543945,0.2684511783850188,0.0012662791433255603,0.03841094730234224
TEAK_1,430.1873301349323,0.02376069208146547,0.18145247950297655,430.1873301349323,0.02376069208146547,2.46015022066243,0.011285092755332248,0.12420352277542906
TEAK_2,444.60121306369587,0.024556819279961107,0.18386209337383147,444.60121306369587,0.024556819279961107,2.2241566916106326,0.010202553631241434,0.1175362257912416
TREE_1,3.5604353143235774,0.0015684737067504747,0.04245609468948591,3.5604353143235774,0.0015684737067504747,0.016978051361919613,4.353346503056311e-4,0.02588461685767048
TREE_2,4.321446226207709,0.0019037208044967882,0.04634205814904225,4.321446226207709,0.0019037208044967882,0.024933526864237915,6.393212016471261e-4,0.031149143447779786
UKFS_1,18.814283480674742,0.008151769272389402,0.10528380132833107,18.814283480674742,0.008151769272389402,0.13384079224007336,0.004055781583032526,0.07536970394320258
UKFS_2,16.07955875258129,0.006966879875468496,0.09812938396616142,16.07955875258129,0.006966879875468496,0.1062575877479715,0.003219926901453682,0.06714819487646546
UNDE,461.943979631377,0.038114189738562454,0.22836513541027914,461.943979631377,0.038114189738562454,4.444791532415336,0.02905092504846625,0.20305816788648093
WOOD_1,12.418904865426528,0.002755470349551038,0.06196060081020321,12.418904865426528,0.002755470349551038,0.05667310619856311,0.00101201975354577,0.040828393430625505
WOOD_2,63.71298485006123,0.014136451042835863,0.12043000465966179,63.71298485006123,0.014136451042835863,0.2487629429111921,0.00444219540912843,0.07687432255910935
WREF_1,73.28625166475415,0.004282239784080527,0.07048926325281665,73.28625166475415,0.004282239784080527,0.5955384448311919,0.002670575985790098,0.057493254820917314
WREF_2,38.81181426562237,0.002267840029544371,0.054168296174261145,38.81181426562237,0.002267840029544371,0.24369920463460254,0.0010928215454466482,0.039259443086441546
YELL,665.6627626978802,0.022955471504858275,0.16095284441070568,665.6627626978802,0.022955471504858275,5.594368118138445,0.015411482419114173,0.12971467618516014
