"term","estimate","std.error","statistic","p.value","Spectral_Metric","Plant_Metric","Model_R2","Model_Adj_R2","Model_P_Value"
"Beta_avg_pairwise",0.496212360766561,0.218708628957763,2.26882845515158,0.0308981530321467,"Beta_avg_pairwise","PD_Beta_Dispersion_TopDown",0.275814668247519,0.175927036281659,0.0464227965694032
"scaled_tree_cover",-0.0369743961808919,0.0329932436055631,-1.12066569213151,0.271625236634001,"Beta_avg_pairwise","PD_Beta_Dispersion_TopDown",0.275814668247519,0.175927036281659,0.0464227965694032
"scaled_canopy_height",-0.00793125799202385,0.0220128564791011,-0.36030117216063,0.721232956078262,"Beta_avg_pairwise","PD_Beta_Dispersion_TopDown",0.275814668247519,0.175927036281659,0.0464227965694032
"Beta_avg_pairwise:scaled_tree_cover",0.134392662395381,0.238498148244448,0.563495622018984,0.577429084186613,"Beta_avg_pairwise","PD_Beta_Dispersion_TopDown",0.275814668247519,0.175927036281659,0.0464227965694032
"(Intercept)",679.950111865746,33.7759533740772,20.1311893208498,1.37511073929244e-18,"gamma_sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"gamma_sum_squares",0.277354331984263,0.139056836616114,1.99453934616633,0.0555686064074754,"gamma_sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"scaled_tree_cover",136.820660224984,47.7285972164513,2.86663904251147,0.00764822516441483,"gamma_sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"scaled_canopy_height",24.1158041574577,45.4583826954372,0.530502906780233,0.599802540330599,"gamma_sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"gamma_sum_squares:scaled_tree_cover",0.145940963151574,0.207719465721535,0.70258684059596,0.487915084962569,"gamma_sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"(Intercept)",742.640876468362,43.1565146426557,17.2080827800292,9.24906771937397e-17,"gamma_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
"gamma_dispersion",-733.362831446332,2210.22157672725,-0.331805118169305,0.742422576553243,"gamma_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
"scaled_tree_cover",188.573897340217,57.2426770237108,3.29428858231258,0.0026050235371333,"gamma_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
"scaled_canopy_height",43.6032851250908,48.156318686985,0.905453039475696,0.372687000995883,"gamma_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
