"siteID","file_id","variant","sample_n","q","M","M_prime","qHt","qEt","qDT","qDTM"
"GUAN","GUAN_1","BrightnessNorm",7594,2,0.1489,0.1489,37871422.0926,0.8104,6154.4761,917.2725
"GUAN","GUAN_1","VectorNorm",7594,0,0.1489,0.1489,57657536,1,7593.756,1131.5511
"GUAN","GUAN_1","VectorNorm",7594,1,0.1489,0.1489,44960681.1858,0.883,6705.7727,999.349
"GUAN","GUAN_1","VectorNorm",7594,2,0.1489,0.1489,37871422.0926,0.8104,6154.4761,917.2725
"GUAN","GUAN_1","BrightVectorNorm",7594,0,0.1489,0.1489,57657536,1,7593.756,1131.5511
"GUAN","GUAN_1","BrightVectorNorm",7594,1,0.1489,0.1489,44960681.1858,0.883,6705.7727,999.349
"GUAN","GUAN_1","BrightVectorNorm",7594,2,0.1489,0.1489,37871422.0926,0.8104,6154.4761,917.2725
"GUAN","GUAN_2","Raw",7594,0,0.1678,0.1678,57657264,1,7593.7381,1275.4324
"GUAN","GUAN_2","Raw",7594,1,0.1678,0.1678,46914640.355,0.902,6849.9263,1150.6009
"GUAN","GUAN_2","Raw",7594,2,0.1678,0.1678,39890941.2288,0.8318,6316.4276,1061.0656
"GUAN","GUAN_2","BrightnessNorm",7594,0,0.1795,0.1796,57657264,1,7593.7381,1364.3129
"GUAN","GUAN_2","BrightnessNorm",7594,1,0.1795,0.1796,44268862.7196,0.8762,6653.985,1195.5979
"GUAN","GUAN_2","BrightnessNorm",7594,2,0.1795,0.1796,36898739.3743,0.8,6074.9333,1091.64
"GUAN","GUAN_2","VectorNorm",7594,0,0.1795,0.1796,57657264,1,7593.7381,1364.3129
"GUAN","GUAN_2","VectorNorm",7594,1,0.1795,0.1796,44268862.7196,0.8762,6653.985,1195.5979
"GUAN","GUAN_2","VectorNorm",7594,2,0.1795,0.1796,36898739.3743,0.8,6074.9333,1091.64
"GUAN","GUAN_2","BrightVectorNorm",7594,0,0.1795,0.1796,57657264,1,7593.7381,1364.3129
"GUAN","GUAN_2","BrightVectorNorm",7594,1,0.1795,0.1796,44268862.7196,0.8762,6653.985,1195.5979
"GUAN","GUAN_2","BrightVectorNorm",7594,2,0.1795,0.1796,36898739.3743,0.8,6074.9333,1091.64
"HARV","HARV","Raw",12328,0,0.1104,0.1104,151956718,1,12327.5726,1362.0478
"HARV","HARV","Raw",12328,1,0.1104,0.1104,116797910.2892,0.8767,10807.8082,1194.2555
"HARV","HARV","Raw",12328,2,0.1104,0.1104,95939858.5261,0.7946,9795.3894,1082.4776
"HARV","HARV","BrightnessNorm",12328,0,0.073,0.073,151956718,1,12327.5726,900.3052
"HARV","HARV","BrightnessNorm",12328,1,0.073,0.073,123703993.0926,0.9022,11122.7297,812.4111
"HARV","HARV","BrightnessNorm",12328,2,0.073,0.073,96632802.6509,0.7974,9830.6985,718.1565
"HARV","HARV","VectorNorm",12328,0,0.073,0.073,151956718,1,12327.5726,900.3052
"HARV","HARV","VectorNorm",12328,1,0.073,0.073,123703993.0926,0.9022,11122.7297,812.4111
"HARV","HARV","VectorNorm",12328,2,0.073,0.073,96632802.6509,0.7974,9830.6985,718.1565
"HARV","HARV","BrightVectorNorm",12328,0,0.073,0.073,151956718,1,12327.5726,900.3052
"HARV","HARV","BrightVectorNorm",12328,1,0.073,0.073,123703993.0926,0.9022,11122.7297,812.4111
"HARV","HARV","BrightVectorNorm",12328,2,0.073,0.073,96632802.6509,0.7974,9830.6985,718.1565
"JERC","JERC_1","Raw",3906,0,0.1682,0.1682,15250282,0.9999,3905.661,657.7865
"JERC","JERC_1","Raw",3906,1,0.1682,0.1682,11265514.4356,0.8594,3356.914,565.5077
"JERC","JERC_1","Raw",3906,2,0.1682,0.1682,9024710.6393,0.7692,3004.6157,506.2643
"JERC","JERC_1","BrightnessNorm",3906,0,0.2704,0.2705,15250282,0.9999,3905.661,1057.1702
"JERC","JERC_1","BrightnessNorm",3906,1,0.2704,0.2705,12886810.2257,0.9192,3590.3204,971.8956
"JERC","JERC_1","BrightnessNorm",3906,2,0.2704,0.2705,11388970.3335,0.8641,3375.2549,913.7376
"JERC","JERC_1","VectorNorm",3906,0,0.2704,0.2705,15250282,0.9999,3905.661,1057.1702
"JERC","JERC_1","VectorNorm",3906,1,0.2704,0.2705,12886810.2257,0.9192,3590.3204,971.8956
"JERC","JERC_1","VectorNorm",3906,2,0.2704,0.2705,11388970.3335,0.8641,3375.2549,913.7376
"JERC","JERC_1","BrightVectorNorm",3906,0,0.2704,0.2705,15250282,0.9999,3905.661,1057.1702
"JERC","JERC_1","BrightVectorNorm",3906,1,0.2704,0.2705,12886810.2257,0.9192,3590.3204,971.8956
"JERC","JERC_1","BrightVectorNorm",3906,2,0.2704,0.2705,11388970.3335,0.8641,3375.2549,913.7376
"JERC","JERC_2","Raw",3906,0,0.1769,0.1769,15250600,0.9999,3905.7017,691.8114
"JERC","JERC_2","Raw",3906,1,0.1769,0.1769,12205933.28,0.8946,3494.1991,619.0279
"JERC","JERC_2","Raw",3906,2,0.1769,0.1769,10091784.871,0.8134,3177.257,562.9696
"JERC","JERC_2","BrightnessNorm",3906,0,0.2208,0.2208,15250600,0.9999,3905.7017,863.275
"JERC","JERC_2","BrightnessNorm",3906,1,0.2208,0.2208,11810028.4133,0.8799,3437.0722,759.814
"JERC","JERC_2","BrightnessNorm",3906,2,0.2208,0.2208,9978034.1654,0.8088,3159.3027,698.4899
"JERC","JERC_2","VectorNorm",3906,0,0.2208,0.2208,15250600,0.9999,3905.7017,863.275
"JERC","JERC_2","VectorNorm",3906,1,0.2208,0.2208,11810028.4133,0.8799,3437.0722,759.814
"JERC","JERC_2","VectorNorm",3906,2,0.2208,0.2208,9978034.1654,0.8088,3159.3027,698.4899
"JERC","JERC_2","BrightVectorNorm",3906,0,0.2208,0.2208,15250600,0.9999,3905.7017,863.275
"JERC","JERC_2","BrightVectorNorm",3906,1,0.2208,0.2208,11810028.4133,0.8799,3437.0722,759.814
"JERC","JERC_2","BrightVectorNorm",3906,2,0.2208,0.2208,9978034.1654,0.8088,3159.3027,698.4899
"JORN","JORN_1","Raw",14298,0,0.0992,0.0992,204409500,1,14297.685,1419.3561
"JORN","JORN_1","Raw",14298,1,0.0992,0.0992,166602871.1716,0.9028,12907.9735,1281.4942
"JORN","JORN_1","Raw",14298,2,0.0992,0.0992,136890907.5948,0.8183,11700.5388,1161.7145
"JORN","JORN_1","BrightnessNorm",14298,0,0.0874,0.0874,204409500,1,14297.685,1250.9639
"JORN","JORN_1","BrightnessNorm",14298,1,0.0874,0.0874,177000094.3916,0.9305,13304.6383,1164.1475
"JORN","JORN_1","BrightnessNorm",14298,2,0.0874,0.0874,150060342.0624,0.8568,12250.4119,1071.9826
"JORN","JORN_1","VectorNorm",14298,0,0.0874,0.0874,204409500,1,14297.685,1250.9639
"JORN","JORN_1","VectorNorm",14298,1,0.0874,0.0874,177000094.3916,0.9305,13304.6383,1164.1475
"JORN","JORN_1","VectorNorm",14298,2,0.0874,0.0874,150060342.0624,0.8568,12250.4119,1071.9826
"JORN","JORN_1","BrightVectorNorm",14298,0,0.0874,0.0874,204409500,1,14297.685,1250.9639
"JORN","JORN_1","BrightVectorNorm",14298,1,0.0874,0.0874,177000094.3916,0.9305,13304.6383,1164.1475
"JORN","JORN_1","BrightVectorNorm",14298,2,0.0874,0.0874,150060342.0624,0.8568,12250.4119,1071.9826
"JORN","JORN_2","Raw",14298,0,0.1086,0.1086,204409086,1,14297.6706,1554.0718
"JORN","JORN_2","Raw",14298,1,0.1086,0.1086,164929226.2415,0.8982,12842.9774,1396.0571
"JORN","JORN_2","Raw",14298,2,0.1086,0.1086,137422629.0013,0.8199,11723.2398,1274.4266
"JORN","JORN_2","BrightnessNorm",14298,0,0.0662,0.0662,204409086,1,14297.6706,947.9025
"JORN","JORN_2","BrightnessNorm",14298,1,0.0662,0.0662,179848594.3998,0.938,13411.2641,889.1978
"JORN","JORN_2","BrightnessNorm",14298,2,0.0662,0.0662,154481003.3664,0.8693,12429.5387,824.1803
"JORN","JORN_2","VectorNorm",14298,0,0.0662,0.0662,204409086,1,14297.6706,947.9025
"JORN","JORN_2","VectorNorm",14298,1,0.0662,0.0662,179848594.3998,0.938,13411.2641,889.1978
"JORN","JORN_2","VectorNorm",14298,2,0.0662,0.0662,154481003.3664,0.8693,12429.5387,824.1803
"JORN","JORN_2","BrightVectorNorm",14298,0,0.0662,0.0662,204409086,1,14297.6706,947.9025
"JORN","JORN_2","BrightVectorNorm",14298,1,0.0662,0.0662,179848594.3998,0.938,13411.2641,889.1978
"JORN","JORN_2","BrightVectorNorm",14298,2,0.0662,0.0662,154481003.3664,0.8693,12429.5387,824.1803
"KONA","KONA_1","Raw",427,0,0.2781,0.2788,181666,0.9994,426.7232,119.6884
"KONA","KONA_1","Raw",427,1,0.2781,0.2788,156041.2339,0.9263,395.5209,111.0098
"KONA","KONA_1","Raw",427,2,0.2781,0.2788,141082.13,0.8808,376.1093,105.6107
"KONA","KONA_1","BrightnessNorm",427,0,0.3501,0.351,181666,0.9994,426.7232,150.4123
"KONA","KONA_1","BrightnessNorm",427,1,0.3501,0.351,141083.3638,0.8808,376.111,132.691
"KONA","KONA_1","BrightnessNorm",427,2,0.3501,0.351,122625.9194,0.8213,350.6802,123.7867
"KONA","KONA_1","VectorNorm",427,0,0.3501,0.351,181666,0.9994,426.7232,150.4123
"KONA","KONA_1","VectorNorm",427,1,0.3501,0.351,141083.3638,0.8808,376.111,132.691
"KONA","KONA_1","VectorNorm",427,2,0.3501,0.351,122625.9194,0.8213,350.6802,123.7867
"KONA","KONA_1","BrightVectorNorm",427,0,0.3501,0.351,181666,0.9994,426.7232,150.4123
